岗位编码,职位名称,职位性质,岗位类别,岗位描述,岗位级别,需求人数,招聘范围,招聘人员,招聘学历,招聘学位,招聘专业,,,招聘电话
261111210073,夹江县医疗保障事务中心2,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,1,全国,2022年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666741
26210074,夹江县医疗保障事务中心3,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,2,全国,2023年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666742
26210075,夹江县医疗保障事务中心4,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,3,全国,2024年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666743
26210076,夹江县医疗保障事务中心5,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,4,全国,2025年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666744
26210077,夹江县医疗保障事务中心6,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,5,全国,2026年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666745
26210078,夹江县医疗保障事务中心7,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,6,全国,2027年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666746
26210079,夹江县医疗保障事务中心8,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,7,全国,2028年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666747
26210080,夹江县医疗保障事务中心9,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,8,全国,2029年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666748
26210081,夹江县医疗保障事务中心10,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,9,全国,2030年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666749
26210082,夹江县医疗保障事务中心11,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,10,全国,2031年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666750
26210083,夹江县医疗保障事务中心12,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,11,全国,2032年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666751
26210084,夹江县医疗保障事务中心13,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,12,全国,2033年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666752
26210085,夹江县医疗保障事务中心14,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,13,全国,2034年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666753
26210086,夹江县医疗保障事务中心15,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,14,全国,2035年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666754
26210087,夹江县医疗保障事务中心16,参公单位,业务岗位,从事医保基金稽核、基金规范化管理工作,一级主任科员及以下,15,全国,2036年高校应届毕业生和符合条件的社会在职、非在职人员,本科及以上,学士及以上,本科：计算机科学与技术、软件工程、医学信息工程、统计学；,,,0833-5666755
